accounting_record_id,store_id,sale_id,purchase_order_id,record_type,record_category,amount,record_date,description,fiscal_period
1,2,1.0,,revenue,sales,51.72,2025-04-19,Revenue from sale 1,2025-04
2,1,2.0,,revenue,sales,67.16,2025-04-26,Revenue from sale 2,2025-04
3,5,3.0,,revenue,sales,13.2,2025-11-29,Revenue from sale 3,2025-11
4,5,4.0,,revenue,sales,32.26,2025-11-15,Revenue from sale 4,2025-11
5,5,5.0,,revenue,sales,25.94,2025-08-25,Revenue from sale 5,2025-08
6,4,6.0,,revenue,sales,29.39,2025-07-25,Revenue from sale 6,2025-07
7,2,7.0,,revenue,sales,27.39,2025-04-27,Revenue from sale 7,2025-04
8,4,8.0,,revenue,sales,27.48,2025-06-17,Revenue from sale 8,2025-06
9,4,9.0,,revenue,sales,17.68,2025-09-06,Revenue from sale 9,2025-09
10,1,10.0,,revenue,sales,30.92,2025-06-15,Revenue from sale 10,2025-06
11,3,11.0,,revenue,sales,21.48,2025-07-02,Revenue from sale 11,2025-07
12,4,12.0,,revenue,sales,52.74,2025-09-26,Revenue from sale 12,2025-09
13,4,13.0,,revenue,sales,46.8,2025-06-29,Revenue from sale 13,2025-06
14,4,14.0,,revenue,sales,75.44,2025-08-30,Revenue from sale 14,2025-08
15,4,15.0,,revenue,sales,27.03,2025-11-22,Revenue from sale 15,2025-11
16,3,16.0,,revenue,sales,26.37,2025-09-29,Revenue from sale 16,2025-09
17,5,17.0,,revenue,sales,20.82,2025-11-01,Revenue from sale 17,2025-11
18,4,18.0,,revenue,sales,45.39,2025-05-11,Revenue from sale 18,2025-05
19,1,19.0,,revenue,sales,16.32,2025-01-11,Revenue from sale 19,2025-01
20,5,20.0,,revenue,sales,22.32,2025-12-04,Revenue from sale 20,2025-12
21,4,21.0,,revenue,sales,34.36,2025-05-13,Revenue from sale 21,2025-05
22,3,22.0,,revenue,sales,41.37,2025-09-23,Revenue from sale 22,2025-09
23,3,23.0,,revenue,sales,37.9,2025-04-24,Revenue from sale 23,2025-04
24,5,24.0,,revenue,sales,26.1,2025-07-29,Revenue from sale 24,2025-07
25,4,25.0,,revenue,sales,29.81,2025-12-08,Revenue from sale 25,2025-12
26,5,26.0,,revenue,sales,31.52,2025-09-27,Revenue from sale 26,2025-09
27,5,27.0,,revenue,sales,35.61,2025-10-10,Revenue from sale 27,2025-10
28,3,28.0,,revenue,sales,42.95,2025-11-20,Revenue from sale 28,2025-11
29,3,29.0,,revenue,sales,77.97,2025-12-07,Revenue from sale 29,2025-12
30,4,30.0,,revenue,sales,20.95,2025-08-27,Revenue from sale 30,2025-08
31,4,31.0,,revenue,sales,12.22,2025-11-23,Revenue from sale 31,2025-11
32,1,32.0,,revenue,sales,22.17,2025-12-13,Revenue from sale 32,2025-12
33,5,33.0,,revenue,sales,38.71,2025-08-03,Revenue from sale 33,2025-08
34,1,34.0,,revenue,sales,18.15,2025-08-17,Revenue from sale 34,2025-08
35,4,35.0,,revenue,sales,20.9,2025-09-23,Revenue from sale 35,2025-09
36,4,36.0,,revenue,sales,82.65,2025-07-22,Revenue from sale 36,2025-07
37,4,37.0,,revenue,sales,29.51,2025-06-10,Revenue from sale 37,2025-06
38,1,38.0,,revenue,sales,39.76,2025-12-20,Revenue from sale 38,2025-12
39,3,39.0,,revenue,sales,33.03,2025-07-31,Revenue from sale 39,2025-07
40,2,40.0,,revenue,sales,20.98,2025-03-21,Revenue from sale 40,2025-03
41,1,41.0,,revenue,sales,38.52,2025-06-10,Revenue from sale 41,2025-06
