loyalty_account_id,customer_id,points_balance,account_status,created_at
1,1,238,active,2023-06-28 12:00:00
2,2,192,active,2024-03-23 17:00:00
3,5,80,active,2024-03-16 08:00:00
4,6,24,active,2025-02-17 08:00:00
5,7,184,active,2023-03-30 12:00:00
6,8,19,inactive,2023-06-11 17:00:00
7,10,41,active,2024-08-15 08:00:00
8,11,66,active,2023-07-26 11:00:00
9,12,79,active,2023-11-30 15:00:00
10,13,109,active,2023-05-27 18:00:00
11,14,45,active,2023-12-01 10:00:00
12,15,25,inactive,2024-10-26 17:00:00
13,16,114,active,2023-03-07 13:00:00
14,17,12,active,2024-03-08 12:00:00
15,21,14,active,2025-01-11 13:00:00
16,22,9,active,2025-11-09 16:00:00
17,23,0,inactive,2023-11-10 13:00:00
18,25,135,active,2025-12-19 16:00:00
19,26,50,active,2023-08-23 11:00:00
20,27,80,active,2024-11-27 13:00:00
21,28,218,active,2023-01-07 14:00:00
22,30,25,active,2023-08-06 11:00:00
23,31,45,active,2024-02-12 18:00:00
24,32,140,active,2025-12-22 17:00:00
25,33,53,inactive,2023-02-09 17:00:00
26,34,160,active,2024-05-05 16:00:00
27,35,145,active,2023-06-11 09:00:00
28,36,192,active,2025-12-26 10:00:00
29,38,120,active,2025-05-16 15:00:00
30,40,20,active,2025-06-16 12:00:00
31,41,74,active,2024-04-05 11:00:00
32,42,206,active,2024-03-27 17:00:00
33,43,106,active,2024-04-13 18:00:00
34,44,321,active,2023-05-26 10:00:00
35,45,139,active,2024-03-14 10:00:00
36,46,58,active,2024-05-12 13:00:00
37,47,83,active,2023-07-13 13:00:00
38,50,64,active,2024-05-24 09:00:00
39,51,88,active,2025-05-14 15:00:00
40,53,61,inactive,2023-07-20 12:00:00
41,54,90,active,2023-01-31 09:00:00
42,55,38,active,2024-04-29 17:00:00
43,56,116,active,2025-04-01 10:00:00
44,57,42,active,2025-03-10 13:00:00
45,58,70,active,2024-08-07 16:00:00
46,59,90,active,2025-09-23 09:00:00
47,60,151,active,2023-05-05 18:00:00
48,62,91,active,2025-11-06 12:00:00
49,63,373,active,2024-04-26 15:00:00
50,64,72,active,2024-05-19 14:00:00
51,65,168,active,2025-05-08 10:00:00
52,66,142,active,2024-06-18 09:00:00
53,67,12,active,2024-06-27 10:00:00
54,68,20,inactive,2025-07-25 11:00:00
55,69,38,active,2023-01-20 14:00:00
56,70,36,active,2023-07-24 08:00:00
57,71,13,active,2023-09-29 09:00:00
58,72,0,inactive,2024-05-15 16:00:00
59,73,86,active,2024-09-11 14:00:00
60,76,70,active,2023-08-08 11:00:00
61,77,35,active,2024-03-07 17:00:00
62,78,0,inactive,2025-11-01 17:00:00
63,79,93,active,2023-04-15 12:00:00
64,80,157,active,2023-04-01 13:00:00
65,81,109,active,2023-11-27 12:00:00
66,82,39,active,2023-01-20 09:00:00
67,83,269,active,2023-11-02 11:00:00
68,85,112,active,2025-01-02 16:00:00
69,86,205,active,2024-12-25 12:00:00
70,87,56,inactive,2025-04-12 13:00:00
71,88,32,active,2023-11-29 11:00:00
72,89,78,active,2023-02-20 09:00:00
73,91,40,active,2024-05-23 13:00:00
74,92,31,inactive,2025-02-22 14:00:00
75,93,88,active,2024-03-31 11:00:00
76,94,81,active,2024-12-17 08:00:00
77,95,81,active,2024-04-01 17:00:00
78,96,142,active,2024-07-24 11:00:00
79,97,43,active,2024-07-25 08:00:00
80,98,19,active,2024-11-09 15:00:00
81,99,94,active,2024-01-01 17:00:00
82,102,124,active,2024-01-25 14:00:00
83,103,161,active,2025-11-30 16:00:00
84,104,22,active,2025-01-15 18:00:00
85,106,71,active,2024-09-07 13:00:00
86,108,15,inactive,2025-05-11 17:00:00
87,109,165,active,2024-09-08 08:00:00
88,110,17,active,2024-08-10 18:00:00
89,111,36,active,2025-08-10 17:00:00
90,112,109,active,2025-08-27 14:00:00
91,113,38,active,2023-12-14 18:00:00
92,114,123,active,2023-07-11 12:00:00
93,115,0,inactive,2024-04-05 13:00:00
94,116,63,active,2024-05-16 17:00:00
95,117,31,active,2025-07-21 16:00:00
96,118,183,active,2025-02-25 15:00:00
97,120,49,active,2025-08-09 10:00:00
98,121,132,active,2025-07-23 18:00:00
99,123,106,active,2025-10-30 12:00:00
100,124,0,active,2025-07-02 08:00:00
101,125,71,active,2025-07-10 16:00:00
102,126,43,active,2025-12-03 17:00:00
103,127,49,active,2023-06-08 17:00:00
104,128,57,active,2024-10-16 10:00:00
105,131,87,active,2025-05-01 09:00:00
106,132,109,active,2023-02-10 15:00:00
107,133,30,inactive,2025-09-03 15:00:00
108,134,89,active,2025-05-08 18:00:00
109,135,79,active,2025-09-26 11:00:00
110,136,117,active,2025-03-07 13:00:00
111,137,57,active,2023-12-05 18:00:00
112,138,61,active,2025-12-29 09:00:00
113,139,146,active,2023-06-21 14:00:00
114,140,89,active,2024-01-08 14:00:00
115,141,250,active,2025-07-20 16:00:00
116,142,69,active,2024-07-23 09:00:00
117,143,30,active,2023-06-17 09:00:00
118,144,108,active,2024-12-17 11:00:00
119,146,21,active,2023-11-09 11:00:00
120,147,111,active,2024-03-22 17:00:00
121,148,103,active,2023-12-10 15:00:00
122,149,116,active,2023-08-23 11:00:00
123,151,19,inactive,2025-02-07 14:00:00
124,152,226,active,2024-05-12 15:00:00
125,153,130,active,2023-03-26 08:00:00
126,154,92,active,2023-05-22 15:00:00
127,155,89,active,2025-09-30 10:00:00
128,157,109,active,2024-07-07 09:00:00
129,159,84,active,2024-10-22 15:00:00
130,161,53,active,2025-02-15 18:00:00
131,164,60,inactive,2023-01-21 11:00:00
132,165,57,active,2025-04-12 12:00:00
133,166,207,active,2025-10-02 08:00:00
134,167,29,active,2024-03-29 10:00:00
135,169,68,active,2024-12-21 12:00:00
136,170,70,active,2024-04-17 10:00:00
137,171,231,active,2024-01-15 18:00:00
138,172,274,active,2025-12-10 10:00:00
139,173,26,inactive,2024-02-02 18:00:00
140,174,68,active,2023-01-29 10:00:00
141,175,68,active,2023-04-22 12:00:00
142,176,165,active,2025-10-02 09:00:00
143,177,140,active,2025-08-19 17:00:00
144,178,160,active,2024-06-01 16:00:00
145,179,67,active,2025-03-31 11:00:00
146,180,12,active,2023-11-07 08:00:00
147,181,156,active,2023-06-24 14:00:00
148,182,46,active,2024-04-07 18:00:00
149,183,69,active,2024-08-31 11:00:00
150,186,118,active,2023-11-18 10:00:00
151,187,45,active,2023-01-06 11:00:00
152,189,163,active,2025-07-18 14:00:00
153,190,155,active,2024-02-10 13:00:00
154,191,15,active,2024-06-28 12:00:00
155,192,30,inactive,2024-09-21 08:00:00
156,193,213,active,2025-06-18 09:00:00
157,195,114,active,2023-03-23 16:00:00
158,197,70,active,2023-02-12 09:00:00
159,198,16,active,2023-03-24 18:00:00
160,199,87,active,2025-06-24 12:00:00
