delivery_id,purchase_order_id,vendor_id,store_id,received_by_employee_id,delivery_date,delivery_status,delay_days,delay_reason
1,1,10,3,,,cancelled,,not delivered
2,2,9,2,28.0,2025-09-13,ontime,0.0,
3,3,19,1,11.0,2025-11-09,ontime,0.0,
4,4,4,3,,,cancelled,,not delivered
5,5,6,5,,,cancelled,,not delivered
6,6,5,1,1.0,2025-03-23,delayed,1.0,routing issue
7,7,12,2,21.0,2025-02-02,ontime,0.0,
8,8,3,3,32.0,2025-06-25,delayed,3.0,supplier backlog
9,9,20,2,,,cancelled,,order cancelled
10,10,10,5,,,cancelled,,not delivered
11,11,5,3,43.0,2025-03-15,delayed,1.0,weather
12,12,16,2,29.0,2025-09-29,partial,1.0,partial shipment
13,13,17,3,38.0,2025-04-12,partial,2.0,partial shipment
14,14,17,2,19.0,2025-10-25,delayed,1.0,traffic delay
15,16,12,2,22.0,2025-01-17,ontime,0.0,
16,17,1,4,,,cancelled,,order cancelled
17,18,10,2,17.0,2025-03-11,delayed,1.0,routing issue
18,19,4,2,16.0,2025-03-11,delayed,1.0,traffic delay
19,20,4,1,2.0,2025-09-12,ontime,0.0,
20,22,4,1,,,cancelled,,order cancelled
21,23,12,2,19.0,2025-11-03,delayed,2.0,supplier backlog
22,24,12,1,,,cancelled,,not delivered
23,25,19,2,23.0,2025-09-24,partial,0.0,partial shipment
24,26,7,1,6.0,2025-10-25,ontime,0.0,
25,27,4,2,,,cancelled,,not delivered
26,28,19,5,,,cancelled,,not delivered
27,29,13,4,,,cancelled,,not delivered
28,30,11,2,20.0,2025-09-25,ontime,0.0,
29,31,12,4,60.0,2025-06-14,ontime,0.0,
30,32,4,5,72.0,2025-07-13,ontime,0.0,
31,33,15,3,,,cancelled,,order cancelled
32,34,14,5,,,cancelled,,not delivered
33,35,16,1,13.0,2025-09-07,ontime,0.0,
34,36,3,4,47.0,2025-11-29,ontime,0.0,
35,37,4,2,16.0,2025-07-29,ontime,0.0,
36,38,20,1,8.0,2025-07-10,ontime,0.0,
37,39,9,1,,,cancelled,,order cancelled
38,40,20,5,62.0,2025-09-16,delayed,1.0,weather
39,41,15,4,,,cancelled,,not delivered
40,42,5,1,15.0,2025-05-19,partial,2.0,partial shipment
41,43,1,1,2.0,2025-01-30,ontime,0.0,
42,44,20,4,58.0,2025-09-27,ontime,0.0,
43,45,15,1,4.0,2025-12-16,partial,2.0,partial shipment
44,46,9,3,,,cancelled,,not delivered
45,47,2,3,42.0,2025-10-27,ontime,0.0,
46,48,13,1,5.0,2025-07-27,delayed,3.0,supplier backlog
47,49,10,4,59.0,2025-04-29,ontime,0.0,
48,50,13,4,54.0,2025-11-19,ontime,0.0,
49,51,18,1,10.0,2025-10-29,delayed,2.0,traffic delay
50,53,13,4,59.0,2025-08-30,ontime,0.0,
51,54,2,3,43.0,2025-07-02,delayed,3.0,weather
52,55,11,3,42.0,2025-07-22,ontime,0.0,
53,56,14,1,,,cancelled,,not delivered
54,57,10,1,1.0,2025-12-09,ontime,0.0,
55,58,4,1,12.0,2025-12-21,ontime,0.0,
56,59,15,2,19.0,2025-01-22,delayed,2.0,supplier backlog
57,60,16,5,71.0,2025-11-16,ontime,0.0,
58,62,7,1,14.0,2025-09-10,partial,0.0,partial shipment
59,63,10,4,,,cancelled,,not delivered
60,64,3,4,55.0,2025-07-30,ontime,0.0,
61,65,19,2,19.0,2025-06-02,ontime,0.0,
62,66,19,2,,,cancelled,,order cancelled
63,67,17,5,68.0,2025-09-30,ontime,0.0,
64,68,10,4,,,cancelled,,not delivered
65,69,14,3,44.0,2025-09-02,ontime,0.0,
66,70,18,3,45.0,2025-12-12,delayed,3.0,weather
67,71,19,1,,,cancelled,,not delivered
68,73,12,5,71.0,2025-12-09,ontime,0.0,
69,74,10,2,,,cancelled,,order cancelled
70,76,20,3,,,cancelled,,not delivered
71,77,1,4,50.0,2025-08-15,delayed,3.0,supplier backlog
72,78,14,3,31.0,2025-09-17,ontime,0.0,
73,79,1,1,2.0,2025-04-17,ontime,0.0,
74,80,2,3,,,cancelled,,not delivered
75,81,10,1,12.0,2025-02-03,delayed,3.0,routing issue
76,82,5,4,59.0,2025-10-15,ontime,0.0,
77,84,8,5,,,cancelled,,not delivered
78,85,13,1,,,cancelled,,not delivered
79,86,7,4,49.0,2025-08-02,partial,0.0,partial shipment
80,88,14,5,68.0,2025-10-06,ontime,0.0,
81,89,12,2,29.0,2025-05-26,ontime,0.0,
82,90,2,1,4.0,2025-12-07,ontime,0.0,
83,91,12,3,39.0,2025-10-31,ontime,0.0,
84,94,9,3,31.0,2025-12-19,delayed,2.0,routing issue
85,95,11,4,,,cancelled,,order cancelled
86,96,12,1,8.0,2025-03-29,ontime,0.0,
87,97,1,5,75.0,2025-11-25,partial,1.0,partial shipment
88,98,5,2,,,cancelled,,not delivered
89,99,3,4,57.0,2025-07-27,partial,1.0,partial shipment
90,100,5,2,,,cancelled,,order cancelled
