inventory_id,store_id,product_id,quantity_on_hand,reorder_level,last_updated_at,aisle_code,aisle_location_description
1,1,1,90,16,2025-12-31 18:00:00,A01,Produce aisle
2,1,2,76,14,2025-12-31 18:00:00,A02,Dairy aisle
3,1,3,23,5,2025-12-31 18:00:00,A03,Meat aisle
4,1,4,63,12,2025-12-31 18:00:00,A04,Bakery aisle
5,1,5,49,7,2025-12-31 18:00:00,A05,Frozen aisle
6,1,6,280,40,2025-12-31 18:00:00,A06,Beverages aisle
7,1,7,422,69,2025-12-31 18:00:00,A07,Personal care aisle
8,1,8,207,26,2025-12-31 18:00:00,A08,Pantry aisle
9,1,9,190,35,2025-12-31 18:00:00,A09,Snacks aisle
10,1,10,196,25,2025-12-31 18:00:00,A10,Seafood aisle
11,1,11,273,37,2025-12-31 18:00:00,A11,Household aisle
12,1,12,138,25,2025-12-31 18:00:00,A12,Deli aisle
13,1,13,149,7,2025-12-31 18:00:00,A01,Produce aisle
14,1,14,173,10,2025-12-31 18:00:00,A02,Dairy aisle
15,1,15,159,13,2025-12-31 18:00:00,A03,Meat aisle
16,1,16,79,6,2025-12-31 18:00:00,A04,Bakery aisle
17,1,17,18,5,2025-12-31 18:00:00,A05,Frozen aisle
18,1,18,242,29,2025-12-31 18:00:00,A06,Beverages aisle
19,1,19,520,68,2025-12-31 18:00:00,A07,Personal care aisle
20,1,20,220,29,2025-12-31 18:00:00,A08,Pantry aisle
21,1,21,524,52,2025-12-31 18:00:00,A09,Snacks aisle
22,1,22,129,14,2025-12-31 18:00:00,A10,Seafood aisle
23,1,23,410,39,2025-12-31 18:00:00,A11,Household aisle
24,1,24,85,19,2025-12-31 18:00:00,A12,Deli aisle
25,1,25,94,14,2025-12-31 18:00:00,A01,Produce aisle
26,1,26,169,20,2025-12-31 18:00:00,A02,Dairy aisle
27,1,27,28,5,2025-12-31 18:00:00,A03,Meat aisle
28,1,28,86,14,2025-12-31 18:00:00,A04,Bakery aisle
29,1,29,43,5,2025-12-31 18:00:00,A05,Frozen aisle
30,1,30,308,46,2025-12-31 18:00:00,A06,Beverages aisle
31,1,31,276,51,2025-12-31 18:00:00,A07,Personal care aisle
32,1,32,304,51,2025-12-31 18:00:00,A08,Pantry aisle
33,1,33,94,20,2025-12-31 18:00:00,A09,Snacks aisle
34,1,34,57,6,2025-12-31 18:00:00,A10,Seafood aisle
35,1,35,186,34,2025-12-31 18:00:00,A11,Household aisle
36,1,36,39,8,2025-12-31 18:00:00,A12,Deli aisle
37,1,37,46,7,2025-12-31 18:00:00,A01,Produce aisle
38,1,38,134,21,2025-12-31 18:00:00,A02,Dairy aisle
39,1,39,82,5,2025-12-31 18:00:00,A03,Meat aisle
40,1,40,190,14,2025-12-31 18:00:00,A04,Bakery aisle
41,1,41,33,9,2025-12-31 18:00:00,A05,Frozen aisle
42,1,42,416,66,2025-12-31 18:00:00,A06,Beverages aisle
