payment_id,sale_id,payment_method,payment_amount,payment_timestamp,confirmation_code
1,1,debit_card,51.72,2025-04-19 18:10:00,Yjic0515sESi
2,2,credit_card,67.16,2025-04-26 15:22:00,fbqn7790jJUM
3,3,cash,13.2,2025-11-29 16:12:00,
4,4,credit_card,32.26,2025-11-15 11:39:00,pthd8614pAOY
5,5,cash,25.94,2025-08-25 09:51:00,
6,6,debit_card,29.39,2025-07-25 16:00:00,FMIb9711OGKp
7,7,credit_card,27.39,2025-04-27 16:46:00,NwpK2460AlQQ
8,8,credit_card,27.48,2025-06-17 16:02:00,HIGY1851GJby
9,9,credit_card,17.68,2025-09-06 14:07:00,qVbw7065Yewp
10,10,credit_card,30.92,2025-06-15 13:31:00,cwIv1952PlXR
11,11,cash,21.48,2025-07-02 20:08:00,
12,12,debit_card,52.74,2025-09-26 13:59:00,eTXD7722csmc
13,13,credit_card,46.8,2025-06-29 18:51:00,GzIE3054qcWP
14,14,credit_card,75.44,2025-08-30 19:22:00,Pvrh3450ZxBz
15,15,debit_card,27.03,2025-11-22 17:46:00,FSFx7652ZHrZ
16,16,credit_card,26.37,2025-09-29 18:16:00,MlIs1616ugfu
17,17,credit_card,20.82,2025-11-01 11:39:00,TBkS4479CwCc
18,18,credit_card,45.39,2025-05-11 08:16:00,OYde5964QOzx
19,19,debit_card,16.32,2025-01-11 16:32:00,MRYC8202ciep
20,20,debit_card,22.32,2025-12-04 19:54:00,cMjR5569CxxC
21,21,credit_card,34.36,2025-05-13 11:13:00,xzuP1928rphb
22,22,credit_card,41.37,2025-09-23 12:31:00,JhqX2786qTCn
23,23,credit_card,37.9,2025-04-24 14:28:00,hieC9473lTCf
24,24,credit_card,26.1,2025-07-29 13:05:00,Istk5518TTSO
25,25,debit_card,29.81,2025-12-08 17:31:00,hmYi2583pYFb
26,26,cash,31.52,2025-09-27 08:25:00,
27,27,debit_card,35.61,2025-10-10 16:23:00,DZJi5895Nfet
28,28,debit_card,42.95,2025-11-20 12:02:00,XAKe6786iuPe
29,29,credit_card,77.97,2025-12-07 17:38:00,iXJO7785LlXi
30,30,credit_card,20.95,2025-08-27 17:24:00,Hjtk6801kuTo
31,31,credit_card,12.22,2025-11-23 10:45:00,qmOJ5841riOt
32,32,cash,22.17,2025-12-13 16:08:00,
33,33,debit_card,38.71,2025-08-03 20:00:00,PkLL9818jkQN
34,34,credit_card,18.15,2025-08-17 10:31:00,bfcP9590XKqP
35,35,credit_card,20.9,2025-09-23 19:07:00,ObFO3969IsPt
36,36,credit_card,82.65,2025-07-22 20:30:00,DeSd7364kCAE
37,37,credit_card,29.51,2025-06-10 18:38:00,juTu7359Uwzi
38,38,credit_card,39.76,2025-12-20 10:52:00,upDh5881rCpj
39,39,debit_card,33.03,2025-07-31 10:32:00,NApk1046uKUu
40,40,credit_card,20.98,2025-03-21 19:52:00,DFtF3278bfzG
41,41,debit_card,38.52,2025-06-10 14:08:00,wdds7339FMPR
