payroll_id,employee_id,store_id,period_start_date,period_end_date,pay_date,gross_pay,deduction_amount,net_pay,hours_worked
1,1,1,2025-10-01,2025-10-31,2025-11-05,8182.35,1187.94,6994.41,
2,1,1,2025-11-01,2025-11-30,2025-12-05,8182.35,1187.25,6995.1,
3,2,1,2025-10-01,2025-10-31,2025-11-05,5656.11,923.18,4732.93,
4,2,1,2025-11-01,2025-11-30,2025-12-05,5656.11,586.28,5069.83,
5,3,1,2025-10-01,2025-10-31,2025-11-05,4551.28,569.67,3981.61,
6,3,1,2025-11-01,2025-11-30,2025-12-05,4551.28,798.66,3752.62,
7,4,1,2025-10-01,2025-10-31,2025-11-05,5110.79,514.55,4596.24,
8,4,1,2025-11-01,2025-11-30,2025-12-05,5110.79,656.9,4453.89,
9,5,1,2025-10-01,2025-10-31,2025-11-05,4494.69,551.01,3943.68,
10,5,1,2025-11-01,2025-11-30,2025-12-05,4494.69,592.63,3902.06,
11,6,1,2025-10-01,2025-10-31,2025-11-05,5030.22,581.45,4448.77,
12,6,1,2025-11-01,2025-11-30,2025-12-05,5030.22,805.58,4224.64,
13,7,1,2025-10-01,2025-10-31,2025-11-05,5535.21,874.87,4660.34,
14,7,1,2025-11-01,2025-11-30,2025-12-05,5535.21,984.76,4550.45,
15,8,1,2025-10-01,2025-10-31,2025-11-05,5191.21,810.93,4380.28,
16,8,1,2025-11-01,2025-11-30,2025-12-05,5191.21,559.56,4631.65,
17,9,1,2025-10-16,2025-10-31,2025-11-05,4483.41,594.42,3888.99,
18,9,1,2025-11-01,2025-11-30,2025-12-05,4483.41,714.28,3769.13,
19,10,1,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
20,10,1,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
21,11,1,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
22,11,1,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
23,12,1,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
24,12,1,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
25,13,1,2025-10-01,2025-10-31,2025-11-05,131.81,22.17,109.64,6.93
26,13,1,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
27,14,1,2025-10-01,2025-10-31,2025-11-05,119.98,13.45,106.53,7.15
28,14,1,2025-11-01,2025-11-30,2025-12-05,116.29,15.94,100.35,6.93
29,15,1,2025-10-01,2025-10-31,2025-11-05,125.34,21.41,103.93,6.02
30,15,1,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
31,16,2,2025-10-01,2025-10-31,2025-11-05,8867.31,1396.4,7470.91,
32,16,2,2025-11-01,2025-11-30,2025-12-05,8867.31,1514.11,7353.2,
33,17,2,2025-10-01,2025-10-31,2025-11-05,6905.22,1136.59,5768.63,
34,17,2,2025-11-01,2025-11-30,2025-12-05,6905.22,1051.92,5853.3,
