purchase_order_id,store_id,vendor_id,created_by_employee_id,purchase_order_date,expected_delivery_date,purchase_order_status
1,3,10,33,2025-12-08,2025-12-16,shipped
2,2,9,16,2025-09-09,2025-09-13,received
3,1,19,4,2025-11-03,2025-11-09,received
4,3,4,39,2025-12-02,2025-12-10,created
5,5,6,62,2025-11-25,2025-11-26,shipped
6,1,5,4,2025-03-16,2025-03-22,received
7,2,12,20,2025-01-28,2025-02-02,received
8,3,3,37,2025-06-13,2025-06-22,received
9,2,20,19,2025-11-18,2025-11-21,cancelled
10,5,10,66,2025-09-21,2025-09-27,shipped
11,3,5,31,2025-03-05,2025-03-14,received
12,2,16,21,2025-09-23,2025-09-28,received
13,3,17,38,2025-04-08,2025-04-10,received
14,2,17,24,2025-10-14,2025-10-24,received
15,5,3,69,2025-12-27,2025-12-28,created
16,2,12,22,2025-01-09,2025-01-17,received
17,4,1,53,2025-10-02,2025-10-05,cancelled
18,2,10,19,2025-03-07,2025-03-10,received
19,2,4,24,2025-03-08,2025-03-10,received
20,1,4,4,2025-09-05,2025-09-12,received
21,5,9,61,2025-11-29,2025-11-30,received
22,1,4,1,2025-06-04,2025-06-05,cancelled
23,2,12,22,2025-10-28,2025-11-01,received
24,1,12,3,2025-03-16,2025-03-21,created
25,2,19,17,2025-09-14,2025-09-24,received
26,1,7,8,2025-10-24,2025-10-25,received
27,2,4,23,2025-10-03,2025-10-04,created
28,5,19,64,2025-12-29,2025-12-31,created
29,4,13,51,2025-06-03,2025-06-06,shipped
30,2,11,23,2025-09-21,2025-09-25,received
31,4,12,48,2025-06-05,2025-06-14,received
32,5,4,66,2025-07-11,2025-07-13,received
33,3,15,35,2025-09-05,2025-09-15,cancelled
34,5,14,66,2025-10-13,2025-10-18,created
35,1,16,9,2025-09-01,2025-09-07,received
36,4,3,46,2025-11-20,2025-11-29,received
37,2,4,22,2025-07-22,2025-07-29,received
38,1,20,8,2025-07-06,2025-07-10,received
39,1,9,8,2025-04-30,2025-05-07,cancelled
40,5,20,69,2025-09-08,2025-09-15,received
41,4,15,53,2025-12-27,2025-12-30,created
42,1,5,3,2025-05-09,2025-05-17,received
43,1,1,2,2025-01-28,2025-01-30,received
44,4,20,47,2025-09-24,2025-09-27,received
45,1,15,8,2025-12-05,2025-12-14,received
46,3,9,35,2025-12-19,2025-12-27,created
47,3,2,36,2025-10-18,2025-10-27,received
48,1,13,3,2025-07-16,2025-07-24,received
49,4,10,47,2025-04-28,2025-04-29,received
50,4,13,54,2025-11-16,2025-11-19,received
51,1,18,6,2025-10-19,2025-10-27,received
52,4,17,51,2025-12-09,2025-12-18,received
53,4,13,49,2025-08-22,2025-08-30,received
54,3,2,34,2025-06-28,2025-06-29,received
55,3,11,33,2025-07-12,2025-07-22,received
56,1,14,2,2025-08-08,2025-08-14,created
57,1,10,3,2025-12-05,2025-12-09,received
58,1,4,8,2025-12-19,2025-12-21,received
59,2,15,16,2025-01-11,2025-01-20,received
60,5,16,66,2025-11-09,2025-11-16,received
61,1,11,6,2025-06-12,2025-06-19,received
62,1,7,5,2025-09-08,2025-09-10,received
63,4,10,50,2025-12-23,2025-12-29,shipped
64,4,3,54,2025-07-22,2025-07-30,received
65,2,19,23,2025-05-28,2025-06-02,received
66,2,19,16,2025-11-16,2025-11-18,cancelled
67,5,17,64,2025-09-25,2025-09-30,received
68,4,10,50,2025-07-26,2025-08-01,shipped
69,3,14,31,2025-08-24,2025-09-02,received
70,3,18,39,2025-11-30,2025-12-09,received
71,1,19,2,2025-11-18,2025-11-27,shipped
72,2,18,20,2025-12-05,2025-12-13,shipped
73,5,12,67,2025-12-08,2025-12-09,received
74,2,10,17,2025-05-04,2025-05-07,cancelled
75,4,14,50,2025-09-20,2025-09-22,received
76,3,20,38,2025-12-11,2025-12-14,shipped
77,4,1,47,2025-08-10,2025-08-12,received
78,3,14,33,2025-09-09,2025-09-17,received
79,1,1,3,2025-04-14,2025-04-17,received
80,3,2,39,2025-12-18,2025-12-27,shipped
81,1,10,3,2025-01-29,2025-01-31,received
82,4,5,46,2025-10-13,2025-10-15,received
83,1,17,5,2025-10-20,2025-10-29,created
84,5,8,61,2025-09-03,2025-09-11,shipped
85,1,13,3,2025-06-10,2025-06-16,shipped
86,4,7,49,2025-07-30,2025-08-02,received
87,4,2,47,2025-11-05,2025-11-10,shipped
88,5,14,62,2025-10-04,2025-10-06,received
89,2,12,16,2025-05-23,2025-05-26,received
90,1,2,7,2025-11-27,2025-12-07,received
91,3,12,32,2025-10-24,2025-10-31,received
92,5,13,65,2025-08-30,2025-09-07,received
93,3,6,33,2025-03-02,2025-03-06,received
94,3,9,38,2025-12-10,2025-12-17,received
95,4,11,52,2025-12-07,2025-12-14,cancelled
96,1,12,9,2025-03-24,2025-03-29,received
97,5,1,66,2025-11-18,2025-11-24,received
98,2,5,19,2025-11-19,2025-11-27,shipped
99,4,3,49,2025-07-21,2025-07-26,received
100,2,5,23,2025-05-08,2025-05-17,cancelled
