purchase_order_line_id,purchase_order_id,product_id,ordered_quantity,unit_cost_at_order,received_quantity
1,1,91,33,5.16,0
2,1,44,116,2.96,0
3,1,46,16,7.79,0
4,2,44,106,3.32,106
5,2,111,48,11.84,48
6,2,109,31,2.71,31
7,3,69,71,2.77,71
8,3,92,70,1.44,70
9,3,111,78,11.24,78
10,4,55,98,4.27,0
11,4,75,83,9.72,0
12,4,113,59,3.04,0
13,5,29,35,5.18,0
14,5,112,19,2.82,0
15,5,131,102,4.52,0
16,6,123,28,8.28,28
17,6,105,51,3.45,51
18,6,135,95,3.11,95
19,7,144,11,3.18,11
20,7,128,29,2.27,29
21,7,60,68,3.2,68
22,8,32,50,2.29,50
23,8,104,24,2.4,24
24,8,90,111,3.72,111
25,9,101,76,7.86,0
26,9,64,102,5.3,0
27,9,41,10,4.31,0
28,10,70,91,9.89,0
29,10,40,84,4.12,0
30,10,129,22,2.49,0
31,11,4,34,9.76,34
32,11,39,63,4.39,63
33,11,127,99,4.77,99
34,12,88,58,3.22,13
35,12,20,37,0.93,3
36,12,93,54,1.8,38
37,13,72,83,5.17,67
38,13,26,11,3.04,6
39,13,117,57,1.75,54
40,14,117,49,1.75,49
41,14,5,74,3.33,74
42,14,58,114,7.44,114
43,15,31,68,3.02,0
44,15,104,62,2.4,0
45,15,59,62,2.93,0
46,16,60,64,3.2,64
47,16,144,76,3.18,76
48,16,124,107,3.19,107
49,17,61,68,0.56,0
50,17,18,64,4.64,0
51,17,23,57,4.79,0
52,18,40,30,4.12,30
53,18,91,79,5.16,79
54,18,100,65,4.51,65
55,19,75,94,9.72,94
56,19,61,98,0.51,98
57,19,113,97,3.04,97
58,20,75,89,9.72,89
59,20,61,119,0.51,119
60,20,68,22,2.04,22
61,21,44,93,3.32,0
62,21,142,12,12.66,0
63,21,141,88,3.43,0
64,22,75,105,9.72,0
65,22,26,106,3.03,0
66,22,59,89,3.05,0
67,23,124,74,3.19,74
68,23,17,84,1.75,84
69,23,121,113,0.77,113
70,24,17,119,1.75,0
71,24,128,63,2.27,0
72,24,60,37,3.2,0
73,25,69,58,2.77,40
74,25,125,24,2.48,4
75,25,134,35,3.11,28
76,26,87,111,5.15,111
77,26,13,69,2.14,69
78,26,65,62,4.15,62
79,27,75,110,9.72,0
80,27,2,38,2.65,0
81,27,55,74,4.27,0
82,28,75,43,11.91,0
83,28,149,49,3.71,0
84,28,140,117,2.02,0
85,29,149,96,4.03,0
86,29,126,40,2.33,0
87,29,56,10,3.8,0
88,30,65,13,3.52,13
89,30,7,29,2.78,29
90,30,116,111,1.36,111
91,31,60,50,3.2,50
92,31,124,52,3.19,52
93,31,128,31,2.27,31
94,32,75,60,9.72,60
95,32,59,34,3.05,34
96,32,61,88,0.51,88
97,33,77,26,4.25,0
98,33,3,91,22.33,0
99,33,135,59,4.16,0
100,34,150,50,3.73,0
101,34,37,76,0.79,0
102,34,87,30,5.0,0
103,35,71,100,1.96,100
104,35,49,112,0.64,112
105,35,16,26,6.64,26
106,36,134,83,4.36,83
107,36,31,110,3.02,110
108,36,59,60,2.93,60
109,37,61,36,0.51,36
110,37,55,21,4.27,21
111,37,94,21,4.96,21
112,38,14,90,2.0,90
113,38,64,108,5.3,108
114,38,146,85,3.75,85
115,39,74,20,1.99,0
116,39,31,83,2.81,0
117,39,137,58,2.46,0
118,40,14,26,2.0,26
119,40,107,68,1.98,68
120,40,143,91,3.53,91
121,41,76,93,2.3,0
122,41,36,38,4.87,0
123,41,40,48,3.24,0
124,42,39,102,4.39,59
125,42,97,109,2.26,73
126,42,148,113,7.08,102
127,43,86,45,4.57,45
128,43,25,20,2.52,20
129,43,13,28,2.3,28
130,44,101,84,7.86,84
131,44,14,120,2.0,120
132,44,146,23,3.75,23
133,45,16,23,6.55,12
134,45,118,28,9.78,10
135,45,135,46,4.16,8
136,46,90,19,3.19,0
137,46,74,73,1.99,0
138,46,44,118,3.32,0
139,47,107,22,1.61,22
140,47,28,72,2.84,72
141,47,115,111,7.81,111
142,48,10,72,8.48,72
143,48,56,90,3.8,90
144,48,15,19,5.8,19
145,49,44,58,2.96,58
146,49,122,50,2.46,50
147,49,68,91,1.94,91
148,50,149,30,4.03,30
149,50,66,33,6.23,33
150,50,126,48,2.33,48
151,51,6,82,3.5,82
152,51,21,90,3.83,90
153,51,118,87,9.09,87
154,52,5,54,3.33,0
155,52,140,71,1.74,0
156,52,58,88,7.44,0
157,53,85,30,2.41,30
158,53,69,76,3.36,76
159,53,10,104,8.48,104
160,54,76,87,2.5,87
161,54,9,13,5.68,13
162,54,28,78,2.84,78
163,55,7,107,2.78,107
164,55,88,29,3.18,29
165,55,116,37,1.36,37
166,56,63,13,4.04,0
167,56,22,51,11.31,0
168,56,53,27,3.32,0
169,57,44,44,2.96,44
170,57,38,45,1.61,45
171,57,40,71,4.12,71
172,58,59,100,3.05,100
173,58,26,80,3.03,80
174,58,55,93,4.27,93
175,59,73,65,2.17,65
176,59,118,75,9.78,75
177,59,124,61,2.68,61
178,60,49,35,0.64,35
179,60,60,97,3.05,97
180,60,20,118,0.93,118
181,61,147,23,4.5,0
182,61,47,84,3.43,0
183,61,65,111,3.52,0
184,62,105,111,3.56,2
185,62,64,36,5.64,32
186,62,19,102,5.22,88
187,63,70,64,9.89,0
188,63,68,86,1.94,0
189,63,129,105,2.49,0
190,64,52,23,2.88,23
191,64,59,87,2.93,87
192,64,55,59,5.16,59
193,65,111,55,11.24,55
194,65,69,57,2.77,57
195,65,136,90,3.36,90
196,66,58,14,7.06,0
197,66,125,75,2.48,0
198,66,67,42,4.0,0
199,67,139,115,8.22,115
200,67,58,92,7.44,92
201,67,82,77,4.9,77
202,68,52,24,2.92,0
203,68,68,33,1.94,0
204,68,15,113,6.32,0
205,69,63,55,4.04,55
206,69,87,41,5.0,41
207,69,37,19,0.79,19
208,70,33,57,3.15,57
209,70,118,28,9.09,28
210,70,51,109,14.61,109
211,71,92,50,1.44,0
212,71,58,98,7.06,0
213,71,12,11,4.01,0
214,72,121,69,0.82,0
215,72,51,82,14.61,0
216,72,33,111,3.15,0
217,73,60,18,3.2,18
218,73,45,59,4.35,59
219,73,124,46,3.19,46
220,74,100,37,4.51,0
221,74,44,23,2.96,0
222,74,91,81,5.16,0
223,75,54,83,3.88,0
224,75,136,92,3.6,0
225,75,22,63,11.31,0
226,76,101,50,7.86,0
227,76,143,114,3.53,0
228,76,64,50,5.3,0
229,77,24,112,4.62,112
230,77,114,73,3.11,73
231,77,13,73,2.3,73
232,78,6,25,2.51,25
233,78,54,25,3.88,25
234,78,87,67,5.0,67
235,79,23,85,4.79,85
236,79,110,59,4.45,59
237,79,61,40,0.56,40
238,80,2,92,2.29,0
239,80,77,110,4.1,0
240,80,141,119,3.99,0
241,81,100,46,4.51,46
242,81,15,26,6.32,26
243,81,70,117,9.89,117
244,82,95,77,2.35,77
245,82,4,15,9.76,15
246,82,97,53,2.26,53
247,83,5,22,3.33,0
248,83,140,116,1.74,0
249,83,72,112,5.17,0
250,84,139,45,6.91,0
251,84,132,50,4.6,0
252,84,78,106,5.03,0
253,85,50,81,2.75,0
254,85,56,109,3.8,0
255,85,15,50,5.8,0
256,86,87,60,5.15,10
257,86,105,48,3.56,30
258,86,11,99,4.01,88
259,87,123,117,6.13,0
260,87,125,57,2.11,0
261,87,9,89,5.68,0
262,88,22,16,11.31,16
263,88,6,115,2.51,115
264,88,53,11,3.32,11
265,89,45,120,4.35,120
266,89,17,98,1.75,98
267,89,60,102,3.2,102
268,90,117,21,2.36,21
269,90,30,34,1.65,34
270,90,21,102,3.96,102
271,91,144,10,3.18,10
272,91,60,98,3.2,98
273,91,124,16,3.19,16
274,92,42,24,2.26,0
275,92,126,16,2.33,0
276,92,10,48,8.48,0
277,93,51,98,14.57,0
278,93,81,88,2.41,0
279,93,102,111,4.74,0
280,94,111,27,11.84,27
281,94,90,84,3.19,84
282,94,74,68,1.99,68
283,95,19,120,5.46,0
284,95,35,28,3.15,0
285,95,56,106,4.05,0
286,96,124,95,3.19,95
287,96,121,25,0.77,25
288,96,128,76,2.27,76
289,97,99,94,3.96,20
290,97,24,72,4.62,67
291,97,89,45,3.65,19
292,98,53,71,2.71,0
293,98,135,38,3.11,0
294,98,127,21,4.77,0
295,99,52,20,2.88,18
296,99,55,55,5.16,43
297,99,85,81,2.63,21
298,100,148,92,7.08,0
