sale_id,store_id,customer_id,employee_id,sale_timestamp,sales_subtotal,discount_total,tax_total,points_earned,points_redeemed,total_amount
1,2,75.0,29,2025-04-19 18:07:00,47.6,0.0,4.22,47,10,51.72
2,1,63.0,1,2025-04-26 15:22:00,61.69,0.0,5.47,61,0,67.16
3,5,,61,2025-11-29 16:09:00,12.12,0.0,1.08,0,0,13.2
4,5,,72,2025-11-15 11:37:00,29.63,0.0,2.63,0,0,32.26
5,5,,72,2025-08-25 09:51:00,23.83,0.0,2.11,0,0,25.94
6,4,,47,2025-07-25 15:58:00,27.47,0.48,2.4,0,0,29.39
7,2,162.0,17,2025-04-27 16:43:00,25.34,0.0,2.25,25,20,27.39
8,4,98.0,57,2025-06-17 15:59:00,25.42,0.0,2.26,25,20,27.48
9,4,,60,2025-09-06 14:06:00,16.24,0.0,1.44,0,0,17.68
10,1,,10,2025-06-15 13:29:00,29.26,0.86,2.52,0,0,30.92
11,3,8.0,41,2025-07-02 20:05:00,19.73,0.0,1.75,19,0,21.48
12,4,27.0,60,2025-09-26 13:57:00,48.44,0.0,4.3,48,0,52.74
13,4,2.0,47,2025-06-29 18:51:00,43.08,0.0,3.82,43,10,46.8
14,4,194.0,57,2025-08-30 19:21:00,69.29,0.0,6.15,69,0,75.44
15,4,21.0,57,2025-11-22 17:43:00,24.92,0.0,2.21,24,10,27.03
16,3,144.0,43,2025-09-29 18:14:00,24.22,0.0,2.15,24,0,26.37
17,5,2.0,73,2025-11-01 11:39:00,19.12,0.0,1.7,19,0,20.82
18,4,36.0,57,2025-05-11 08:13:00,43.12,1.15,3.72,41,30,45.39
19,1,57.0,11,2025-01-11 16:30:00,14.99,0.0,1.33,14,0,16.32
20,5,129.0,61,2025-12-04 19:54:00,20.5,0.0,1.82,20,0,22.32
21,4,197.0,46,2025-05-13 11:10:00,31.56,0.0,2.8,31,0,34.36
22,3,36.0,41,2025-09-23 12:31:00,38.0,0.0,3.37,38,0,41.37
23,3,,31,2025-04-24 14:26:00,34.81,0.0,3.09,0,0,37.9
24,5,162.0,61,2025-07-29 13:02:00,23.97,0.0,2.13,23,0,26.1
25,4,199.0,60,2025-12-08 17:29:00,29.39,2.01,2.43,27,0,29.81
26,5,145.0,73,2025-09-27 08:22:00,29.57,0.62,2.57,28,0,31.52
27,5,194.0,75,2025-10-10 16:21:00,32.98,0.0,2.93,32,30,35.61
28,3,,42,2025-11-20 11:59:00,39.45,0.0,3.5,0,0,42.95
29,3,176.0,43,2025-12-07 17:36:00,71.61,0.0,6.36,71,0,77.97
30,4,163.0,46,2025-08-27 17:22:00,19.79,0.55,1.71,19,0,20.95
31,4,69.0,57,2025-11-23 10:42:00,11.22,0.0,1.0,11,0,12.22
32,1,,10,2025-12-13 16:06:00,20.36,0.0,1.81,0,0,22.17
33,5,,75,2025-08-03 19:59:00,35.55,0.0,3.16,0,0,38.71
34,1,,14,2025-08-17 10:28:00,16.98,0.31,1.48,0,0,18.15
35,4,,46,2025-09-23 19:06:00,19.2,0.0,1.7,0,0,20.9
36,4,63.0,47,2025-07-22 20:28:00,81.81,5.62,6.76,76,30,82.65
37,4,64.0,46,2025-06-10 18:37:00,27.31,0.21,2.41,27,0,29.51
38,1,1.0,1,2025-12-20 10:49:00,37.7,1.0,3.26,36,20,39.76
39,3,195.0,31,2025-07-31 10:31:00,30.34,0.0,2.69,30,0,33.03
40,2,155.0,28,2025-03-21 19:51:00,19.51,0.24,1.71,19,0,20.98
41,1,153.0,10,2025-06-10 14:06:00,35.38,0.0,3.14,35,0,38.52
42,1,75.0,12,2025-03-29 17:24:00,66.56,3.54,5.59,63,0,68.61
43,4,,57,2025-04-28 19:34:00,15.06,0.0,1.34,0,0,16.4
44,4,14.0,60,2025-11-29 20:44:00,34.17,0.0,3.03,34,20,37.0
45,5,,62,2025-10-21 20:02:00,15.71,0.8,1.32,0,0,16.23
46,2,,28,2025-04-09 14:13:00,17.85,0.47,1.54,0,0,18.92
