sale_line_id,sale_id,product_id,quantity_sold,unit_price,discount_amount,line_total
1,1,76,3,3.14,0.0,9.42
2,1,49,3,1.02,0.0,3.06
3,1,111,2,17.56,0.0,35.12
4,2,35,2,5.66,0.0,11.32
5,2,148,5,9.52,0.0,47.6
6,2,107,1,2.77,0.0,2.77
7,3,95,1,3.44,0.0,3.44
8,3,117,1,3.08,0.0,3.08
9,3,134,1,5.6,0.0,5.6
10,4,109,1,4.66,0.0,4.66
11,4,80,3,7.03,0.0,21.09
12,4,104,1,3.88,0.0,3.88
13,5,45,1,6.23,0.0,6.23
14,5,120,1,9.96,0.0,9.96
15,5,64,1,7.64,0.0,7.64
16,6,53,2,4.77,0.48,9.06
17,6,98,2,5.0,0.0,10.0
18,6,132,1,7.93,0.0,7.93
19,7,45,2,6.23,0.0,12.46
20,7,117,2,3.08,0.0,6.16
21,7,74,2,3.36,0.0,6.72
22,8,112,2,4.79,0.0,9.58
23,8,65,2,6.08,0.0,12.16
24,8,128,1,3.68,0.0,3.68
25,9,122,1,4.09,0.0,4.09
26,9,45,1,6.23,0.0,6.23
27,9,110,1,5.92,0.0,5.92
28,10,136,1,4.99,0.0,4.99
29,10,102,2,8.55,0.86,16.24
30,10,9,1,7.17,0.0,7.17
31,11,38,1,2.61,0.0,2.61
32,11,126,2,3.7,0.0,7.4
33,11,97,3,3.24,0.0,9.72
34,12,123,2,10.69,0.0,21.38
35,12,27,1,12.72,0.0,12.72
36,12,9,2,7.17,0.0,14.34
37,13,85,2,3.63,0.0,7.26
38,13,73,2,3.8,0.0,7.6
39,13,10,2,14.11,0.0,28.22
40,14,78,4,6.68,0.0,26.72
41,14,66,4,8.85,0.0,35.4
42,14,9,1,7.17,0.0,7.17
43,15,21,3,5.04,0.0,15.12
44,15,146,1,5.93,0.0,5.93
45,15,81,1,3.87,0.0,3.87
46,16,130,1,11.16,0.0,11.16
47,16,60,2,4.85,0.0,9.7
48,16,74,1,3.36,0.0,3.36
49,17,45,2,6.23,0.0,12.46
50,17,37,3,1.1,0.0,3.3
51,17,74,1,3.36,0.0,3.36
