shift_id,employee_id,store_id,department_id,shift_start_date,shift_end_date,clock_in_time,clock_out_time,shift_status
1,1,1,2,2025-10-28,2025-10-28,2025-10-28 10:07:00,2025-10-28 19:08:00,completed
2,1,1,2,2025-09-19,2025-09-19,,,missed
3,1,1,2,2025-11-12,2025-11-12,,,missed
4,1,1,2,2025-11-26,2025-11-26,2025-11-26 08:00:00,2025-11-26 16:51:00,completed
5,1,1,2,2025-06-24,2025-06-24,2025-06-24 09:59:00,2025-06-24 18:52:00,completed
6,1,1,2,2025-12-01,2025-12-01,,,missed
7,2,1,5,2025-02-20,2025-02-20,2025-02-20 09:08:00,2025-02-20 17:56:00,completed
8,2,1,5,2025-01-01,2025-01-01,2025-01-01 08:01:00,2025-01-01 17:03:00,completed
9,2,1,5,2025-11-11,2025-11-11,2025-11-11 07:55:00,2025-11-11 16:59:00,completed
10,2,1,5,2025-08-19,2025-08-19,2025-08-19 09:02:00,2025-08-19 17:01:00,completed
11,2,1,5,2025-07-08,2025-07-08,2025-07-08 09:59:00,2025-07-08 18:00:00,completed
12,2,1,5,2025-07-23,2025-07-23,2025-07-23 10:08:00,2025-07-23 18:13:00,completed
13,3,1,6,2025-09-22,2025-09-22,2025-09-22 07:07:00,2025-09-22 14:59:00,completed
14,3,1,6,2025-04-23,2025-04-23,2025-04-23 09:56:00,2025-04-23 19:08:00,completed
15,3,1,6,2025-01-28,2025-01-28,2025-01-28 08:10:00,2025-01-28 17:00:00,completed
16,3,1,6,2025-02-13,2025-02-13,2025-02-13 10:08:00,2025-02-13 17:54:00,completed
17,3,1,6,2025-09-03,2025-09-03,2025-09-03 08:59:00,2025-09-03 17:05:00,completed
18,3,1,6,2025-01-24,2025-01-24,,,missed
19,4,1,4,2025-07-03,2025-07-03,2025-07-03 09:56:00,2025-07-03 17:57:00,completed
20,4,1,4,2025-06-17,2025-06-17,2025-06-17 08:00:00,2025-06-17 16:12:00,completed
21,4,1,4,2025-11-26,2025-11-26,2025-11-26 10:10:00,2025-11-26 18:51:00,completed
22,4,1,4,2025-12-25,2025-12-25,,,missed
23,4,1,4,2025-10-14,2025-10-14,2025-10-14 09:59:00,2025-10-14 18:53:00,completed
24,4,1,4,2025-07-18,2025-07-18,2025-07-18 09:04:00,2025-07-18 16:55:00,completed
25,5,1,3,2025-03-14,2025-03-14,,,missed
26,5,1,3,2025-11-25,2025-11-25,2025-11-25 08:05:00,2025-11-25 16:50:00,completed
27,5,1,3,2025-08-15,2025-08-15,2025-08-15 08:58:00,2025-08-15 17:00:00,completed
28,5,1,3,2025-04-28,2025-04-28,2025-04-28 08:10:00,2025-04-28 16:04:00,completed
29,5,1,3,2025-09-12,2025-09-12,2025-09-12 08:56:00,2025-09-12 17:10:00,completed
30,5,1,3,2025-10-24,2025-10-24,,,missed
31,6,1,7,2025-11-19,2025-11-19,2025-11-19 10:00:00,2025-11-19 17:57:00,completed
32,6,1,7,2025-12-24,2025-12-24,2025-12-24 10:01:00,2025-12-24 17:55:00,completed
33,6,1,7,2025-09-08,2025-09-08,2025-09-08 09:59:00,2025-09-08 18:53:00,completed
34,6,1,7,2025-02-24,2025-02-24,2025-02-24 09:04:00,2025-02-24 18:11:00,completed
35,6,1,7,2025-04-04,2025-04-04,2025-04-04 08:06:00,2025-04-04 17:06:00,completed
36,6,1,7,2025-01-24,2025-01-24,2025-01-24 08:07:00,2025-01-24 17:05:00,completed
37,7,1,1,2025-04-30,2025-04-30,,,missed
38,7,1,1,2025-09-12,2025-09-12,,,missed
39,7,1,1,2025-09-23,2025-09-23,2025-09-23 06:57:00,2025-09-23 16:15:00,completed
40,7,1,1,2025-07-10,2025-07-10,2025-07-10 09:59:00,2025-07-10 19:11:00,completed
41,7,1,1,2025-02-06,2025-02-06,2025-02-06 09:04:00,2025-02-06 17:08:00,completed
42,7,1,1,2025-12-08,2025-12-08,,,missed
43,8,1,5,2025-08-14,2025-08-14,2025-08-14 07:09:00,2025-08-14 14:55:00,completed
44,8,1,5,2025-02-14,2025-02-14,2025-02-14 08:08:00,2025-02-14 17:12:00,completed
45,8,1,5,2025-12-30,2025-12-30,2025-12-30 09:09:00,2025-12-30 18:14:00,completed
