vendor_id,product_id,vendor_product_code,unit_cost,lead_time_days,is_preferred_vendor
8,1,VP-8-1,3.97,6,True
4,2,VP-4-2,2.65,2,False
2,2,VP-2-2,2.29,3,True
2,3,VP-2-3,20.98,2,True
15,3,VP-15-3,22.33,5,False
2,4,VP-2-4,8.55,7,False
5,4,VP-5-4,9.76,7,True
5,5,VP-5-5,3.86,6,True
17,5,VP-17-5,3.33,4,False
14,6,VP-14-6,2.51,7,False
18,6,VP-18-6,3.5,8,True
11,7,VP-11-7,2.78,6,True
18,8,VP-18-8,10.93,6,True
16,8,VP-16-8,10.96,4,False
2,9,VP-2-9,5.68,10,True
13,10,VP-13-10,8.48,3,False
8,10,VP-8-10,11.01,7,True
7,11,VP-7-11,4.01,2,False
2,11,VP-2-11,4.79,5,True
19,12,VP-19-12,4.01,7,True
1,13,VP-1-13,2.3,3,True
7,13,VP-7-13,2.14,9,False
20,14,VP-20-14,2.0,5,True
10,15,VP-10-15,6.32,7,False
13,15,VP-13-15,5.8,7,True
16,16,VP-16-16,6.64,9,True
15,16,VP-15-16,6.55,7,False
12,17,VP-12-17,1.75,5,True
1,18,VP-1-18,4.64,8,True
7,19,VP-7-19,5.22,5,True
11,19,VP-11-19,5.46,7,False
16,20,VP-16-20,0.93,7,False
20,20,VP-20-20,0.93,10,True
18,21,VP-18-21,3.83,3,True
2,21,VP-2-21,3.96,2,False
14,22,VP-14-22,11.31,5,True
5,23,VP-5-23,5.73,7,True
1,23,VP-1-23,4.79,9,False
1,24,VP-1-24,4.62,10,False
20,24,VP-20-24,6.11,10,True
1,25,VP-1-25,2.52,4,True
4,26,VP-4-26,3.03,10,True
17,26,VP-17-26,3.04,7,False
13,27,VP-13-27,10.05,9,False
3,27,VP-3-27,8.79,5,True
3,28,VP-3-28,2.68,8,True
2,28,VP-2-28,2.84,2,False
6,29,VP-6-29,5.18,7,False
3,29,VP-3-29,4.71,3,True
2,30,VP-2-30,1.65,9,True
3,31,VP-3-31,3.02,7,True
9,31,VP-9-31,2.81,5,False
13,32,VP-13-32,1.95,5,False
3,32,VP-3-32,2.29,8,True
18,33,VP-18-33,3.15,4,True
3,34,VP-3-34,6.38,8,True
3,35,VP-3-35,4.48,7,False
11,35,VP-11-35,3.15,6,True
15,36,VP-15-36,4.87,10,True
14,37,VP-14-37,0.79,8,True
20,38,VP-20-38,1.9,3,True
10,38,VP-10-38,1.61,8,False
5,39,VP-5-39,4.39,3,True
10,40,VP-10-40,4.12,3,False
15,40,VP-15-40,3.24,4,True
18,41,VP-18-41,3.89,3,False
20,41,VP-20-41,4.31,3,True
11,42,VP-11-42,1.89,8,True
13,42,VP-13-42,2.26,10,False
8,43,VP-8-43,4.78,4,True
10,44,VP-10-44,2.96,4,False
9,44,VP-9-44,3.32,8,True
3,45,VP-3-45,4.9,9,False
12,45,VP-12-45,4.35,5,True
5,46,VP-5-46,8.07,7,True
10,46,VP-10-46,7.79,8,False
11,47,VP-11-47,3.43,4,True
20,48,VP-20-48,6.32,8,False
7,48,VP-7-48,7.96,6,True
16,49,VP-16-49,0.64,6,True
13,50,VP-13-50,2.75,5,True
18,51,VP-18-51,14.61,9,True
6,51,VP-6-51,14.57,5,False
